,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
586,Joe Cannon,San Jose Earthquakes,12,12,55,38,14,6,4,2,6,50.0,69.1,2010
587,Preston Burpo,New England Revolution,11,11,65,48,16,2,6,2,2,18.2,73.8,2010
588,Dario Sala,FC Dallas,11,10,50,34,16,2,3,6,1,18.2,68.0,2010
589,Brad Knighton,New England Revolution,8,8,33,23,8,3,3,1,2,37.5,69.7,2010
590,Bill Hamid,D.C. United,8,8,31,20,10,3,5,0,1,37.5,64.5,2010
591,Dan Kennedy,Chivas USA,7,6,31,22,8,2,4,1,0,28.6,71.0,2010
592,Bobby Shuttleworth,Chicago FIre FC,6,5,27,18,9,3,3,0,1,50.0,66.7,2010
593,Tally Hall,Houston Dynamo FC,5,5,26,18,8,1,3,1,1,20.0,69.2,2010
594,Kyle Reynish,Real Salt Lake,3,3,13,11,2,0,0,3,1,0.0,84.6,2010
595,Greg Sutton,New York City,3,3,10,9,1,1,1,1,2,33.3,90.0,2010
596,Milos Kocic,Toronto FC,2,1,8,5,3,1,0,1,0,50.0,62.5,2010
597,Tyler Deric,Houston Dynamo FC,2,2,9,8,1,2,0,0,1,100.0,88.9,2010
598,Terry Boss,Seattle Sounders FC,1,0,2,1,1,0,0,1,0,0.0,50.0,2010
599,Jon Conway,Toronto FC,1,1,2,2,1,0,0,0,0,0.0,100.0,2010
600,Eric Kronberg,KC ,1,1,4,3,1,1,0,0,0,100.0,75.0,2010
601,Kevin Guppy,Chivas USA,1,1,9,6,3,0,1,0,0,0.0,66.7,2010
602,Josh Saunders,LA Galaxy,1,1,1,1,0,0,0,1,1,0.0,100.0,2010
603,Ian Joyce,Colorado Rapids,1,1,4,4,0,1,0,0,1,100.0,100.0,2010
604,Josh Lambo,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
605,Josh Wicks,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
606,Kenny Schoeni,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
607,Steward Ceus,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
608,Andrew Weber,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
609,Andy Gruenebaum,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
610,Andrew Quinn,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
611,Tim Murray,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
612,Tim Melia,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
613,Jon Kempin,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
614,Brian Perk,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2010
615,Kasey Keller,Seattle Sounders FC,34,34,145,110,37,18,7,9,9,52.9,75.9,2011
616,Matt Pickens,Colorado Rapids,34,34,116,76,41,12,9,13,8,35.3,65.5,2011
617,Tally Hall,Houston Dynamo FC,34,34,143,99,41,12,9,13,6,35.3,69.2,2011
618,Kevin Hartman,FC Dallas,33,33,124,85,35,15,11,7,13,45.5,68.5,2011
619,Nick Rimando,Real Salt Lake,33,33,134,95,36,14,11,8,13,42.4,70.9,2011
620,Jon Busch,San Jose Earthquakes,33,33,160,113,44,7,12,14,7,21.2,70.6,2011
621,William Hesmer,Columbus Crew,32,32,135,92,44,11,13,8,8,34.4,68.1,2011
622,Dan Kennedy,Chivas USA,32,32,142,100,39,8,12,12,9,25.0,70.4,2011
623,Jimmy Nielsen,KC ,31,31,114,79,35,12,8,11,7,38.7,69.3,2011
624,Troy Perkins,Portland Timbers,29,29,132,91,38,9,12,8,9,31.0,68.9,2011
625,Bill Hamid,D.C. United,28,28,114,77,37,7,9,10,7,25.0,67.5,2011
626,Sean Johnson,New York City,28,28,115,76,37,9,7,12,7,32.1,66.1,2011
627,Faryd Mondragón,Philadelphia Union,27,27,79,49,28,8,8,11,7,29.6,62.0,2011
628,Stefan Frei,Seattle Sounders FC,27,27,155,106,49,3,12,11,6,11.1,68.4,2011
629,Matt Reis,New England Revolution,27,27,159,111,43,5,12,10,5,18.5,69.8,2011
630,Joe Cannon,Vancouver Whitecaps FC,20,20,99,66,32,4,12,4,3,20.0,66.7,2011
631,Josh Saunders,LA Galaxy,19,18,73,55,17,12,2,4,8,63.2,75.3,2011
632,Donovan Ricketts,LA Galaxy,15,15,54,41,11,7,3,4,7,46.7,75.9,2011
633,Jay Nolly,Vancouver Whitecaps FC,14,14,63,39,23,2,6,6,2,14.3,61.9,2011
634,Bouna Coundoul,New York City,12,11,51,37,13,3,2,6,3,25.0,72.5,2011
635,Frank Rost,New York City,11,11,40,26,14,4,4,3,5,36.4,65.0,2011
636,Greg Sutton,New York City,10,10,44,30,15,3,2,5,2,30.0,68.2,2011
637,Milos Kocic,Toronto FC,8,7,47,35,10,3,1,4,1,37.5,74.5,2011
638,Zac MacMath,Real Salt Lake,8,7,25,16,8,3,0,4,3,37.5,64.0,2011
639,Bobby Shuttleworth,Chicago FIre FC,7,7,32,17,15,0,4,3,0,0.0,53.1,2011
640,Jon Conway,Chicago FIre FC,6,6,24,15,8,0,2,4,1,0.0,62.5,2011
641,Eric Kronberg,KC ,4,3,15,10,5,1,1,1,1,25.0,66.7,2011
642,Jake Gleeson,Portland Timbers,4,3,17,12,6,2,0,1,0,50.0,70.6,2011
643,Joe Willis,Nashville SC,3,3,16,12,4,1,2,0,1,33.3,75.0,2011
644,Pat Onstad,D.C. United,3,3,16,8,7,1,2,0,0,33.3,50.0,2011
645,Steve Cronin,D.C. United,2,0,10,6,4,0,0,2,0,0.0,60.0,2011
646,Adin Brown,Portland Timbers,2,2,9,5,4,0,2,0,0,0.0,55.6,2011
647,Zach Thornton,Chivas USA,2,2,7,3,4,0,2,0,0,0.0,42.9,2011
648,Andy Gruenebaum,Columbus Crew,2,2,5,5,0,2,0,0,2,100.0,100.0,2011
649,Kyle Reynish,Real Salt Lake,1,1,2,2,0,1,0,0,1,100.0,100.0,2011
650,Chris Seitz,D.C. United,1,1,9,5,4,0,1,0,0,0.0,55.6,2011
651,Chris Konopka,New York City,1,1,4,2,2,0,0,1,0,0.0,50.0,2011
652,Brian Perk,LA Galaxy,1,1,2,2,0,0,0,1,1,0.0,100.0,2011
653,David Bingham,LA Galaxy,1,1,5,4,1,1,0,0,0,100.0,80.0,2011
654,Alex Horwath,New York City,1,1,4,4,0,0,0,1,1,0.0,100.0,2011
655,Alec Dufty,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
656,Jon Kempin,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
657,Alex Riggs,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
658,Tyler Deric,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
659,Tim Murray,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
660,Tim Melia,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
661,Evan Newton,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
662,Richard Sanchez,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
663,Brian Sylvestre,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
664,Thorne Holder,Philadelphia Union,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
665,Josh Ford,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
666,Chase Harrison,Philadelphia Union,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
667,Bryan Meredith,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
668,Sergio Arias,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
669,Ian Joyce,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
670,Josh Lambo,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
671,Andrew Weber,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
672,Terry Boss,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
673,Steward Ceus,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2011
674,Jimmy Nielsen,KC ,34,34,102,77,27,18,7,9,15,52.9,75.5,2012
675,Donovan Ricketts,CF Montreal,33,33,143,87,52,12,14,5,5,36.4,60.8,2012
676,Andy Gruenebaum,Columbus Crew,33,33,166,124,41,13,12,7,8,39.4,74.7,2012
677,Tally Hall,Houston Dynamo FC,33,33,129,88,39,14,8,11,12,42.4,68.2,2012
678,Jon Busch,San Jose Earthquakes,32,32,123,77,40,17,5,9,7,53.1,62.6,2012
679,Matt Pickens,Colorado Rapids,32,32,155,107,49,9,19,4,7,28.1,69.0,2012
680,Dan Kennedy,Chivas USA,32,32,167,109,54,7,17,8,7,21.9,65.3,2012
681,Zac MacMath,Real Salt Lake,32,32,139,93,43,10,17,5,8,31.3,66.9,2012
682,Sean Johnson,New York City,31,31,143,108,38,16,10,5,5,51.6,75.5,2012
683,Troy Perkins,CF Montreal,31,31,148,101,43,8,14,8,7,25.8,68.2,2012
684,Nick Rimando,Real Salt Lake,31,31,116,83,33,16,11,4,12,51.6,71.6,2012
685,Kevin Hartman,FC Dallas,30,30,148,98,42,9,11,10,6,30.0,66.2,2012
686,Matt Reis,New England Revolution,27,27,133,92,39,6,14,7,6,22.2,69.2,2012
687,Josh Saunders,LA Galaxy,27,27,118,80,36,16,7,4,9,59.3,67.8,2012
688,Milos Kocic,Toronto FC,27,27,129,82,47,5,16,6,3,18.5,63.6,2012
689,Joe Cannon,Vancouver Whitecaps FC,26,26,109,73,34,8,10,7,8,30.8,67.0,2012
690,Bill Hamid,D.C. United,24,24,113,88,24,13,6,4,8,54.2,77.9,2012
691,Michael Gspurning,Seattle Sounders FC,21,21,77,59,15,12,4,5,8,57.1,76.6,2012
692,Ryan Meara,New York City Red Bulls,18,18,90,59,27,9,5,4,3,50.0,65.6,2012
693,Bill Gaudette,LA Galaxy,15,15,62,38,20,5,5,5,3,33.3,61.3,2012
694,Bryan Meredith,Vancouver Whitecaps FC,12,10,36,20,14,3,3,5,3,25.0,55.6,2012
695,Joe Willis,Nashville SC,11,10,50,31,19,4,4,3,2,36.4,62.0,2012
696,Brad Knighton,New England Revolution,10,8,36,27,7,3,3,3,3,30.0,75.0,2012
697,Bobby Shuttleworth,Chicago FIre FC,7,7,29,23,5,3,3,1,3,42.9,79.3,2012
698,Freddy Hall,Toronto FC,7,7,42,27,15,0,5,2,1,0.0,64.3,2012
699,Joe Bendik,Philadelphia Union,5,3,21,11,8,0,2,3,0,0.0,52.4,2012
700,Brian Perk,LA Galaxy,4,4,13,7,7,0,3,1,0,0.0,53.8,2012
701,Chris Seitz,D.C. United,4,4,15,10,5,0,2,2,0,0.0,66.7,2012
702,Luis Robles,Inter Miami CF,4,4,12,9,3,2,1,1,2,50.0,75.0,2012
703,Matt Lampson,Columbus Crew,3,1,10,7,3,2,0,0,0,66.7,70.0,2012
704,Steward Ceus,Colorado Rapids,3,2,5,4,1,2,0,0,2,66.7,80.0,2012
705,Andrew Weber,Seattle Sounders FC,3,3,9,5,4,0,1,1,0,0.0,55.6,2012
706,David Bingham,LA Galaxy,3,2,12,8,3,2,1,0,0,66.7,66.7,2012
707,Paolo Tornaghi,Chicago FIre FC,3,3,17,14,3,1,1,1,1,33.3,82.4,2012
708,Kyle Reynish,Real Salt Lake,3,3,8,6,2,1,0,2,2,33.3,75.0,2012
709,Tim Melia,Sporting Kansas City,2,2,13,9,4,0,1,1,0,0.0,69.2,2012
710,Greg Sutton,CF Montreal,1,0,1,0,1,0,1,0,0,0.0,0.0,2012
711,Chris Konopka,Philadelphia Union,1,1,7,6,1,0,1,0,0,0.0,85.7,2012
712,Tyler Deric,Houston Dynamo FC,1,1,9,7,2,0,1,0,0,0.0,77.8,2012
713,Chase Harrison,Philadelphia Union,1,1,3,2,1,0,0,1,0,0.0,66.7,2012
714,Evan Bush,CF Montreal,1,1,7,4,3,0,1,0,0,0.0,57.1,2012
715,Brian Rowe ,Orlando City SC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
716,Jeremy Vuolo,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
717,Erich Marscheider,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
718,Quillan Roberts,Toronto FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
719,Lalo Fernandez,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
720,Patrick McLain,Chivas USA,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
721,Scott Angevine,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
722,Tim Murray,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
723,Jon Kempin,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
724,Evan Newton,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
725,Josh Ford,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
726,Brian Sylvestre,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
727,Jake Gleeson,Portland Timbers,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
728,Richard Sanchez,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
729,Ian Joyce,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
730,Stefan Frei,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
731,Andrew Dykstra,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
732,Marcus Hahnemann,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
733,William Hesmer,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
734,Jay Nolly,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
735,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2012
736,Jimmy Nielsen,KC ,34,34,100,68,30,17,10,7,13,50.0,68.0,2013
737,Luis Robles,Inter Miami CF,34,34,147,103,41,17,9,8,11,50.0,70.1,2013
738,Tally Hall,Houston Dynamo FC,34,34,141,95,41,14,11,9,9,41.2,67.4,2013
739,Zac MacMath,Real Salt Lake,34,34,147,101,44,12,12,10,12,35.3,68.7,2013
740,Joe Bendik,Philadelphia Union,33,33,139,90,46,6,16,11,4,18.2,64.7,2013
741,Troy Perkins,CF Montreal,33,33,158,109,48,14,12,7,8,42.4,69.0,2013
742,Jon Busch,San Jose Earthquakes,33,33,142,101,41,13,11,9,9,39.4,71.1,2013
743,Clint Irwin,Colorado Rapids,32,31,132,91,35,14,9,9,10,43.8,68.9,2013
744,Donovan Ricketts,Portland Timbers,32,32,126,92,31,13,5,14,14,40.6,73.0,2013
745,Dan Kennedy,Chivas USA,31,31,166,104,54,6,17,8,3,19.4,62.7,2013
746,Michael Gspurning,Seattle Sounders FC,28,28,114,76,35,12,9,6,10,42.9,66.7,2013
747,Sean Johnson,New York City,28,28,132,93,39,12,10,6,6,42.9,70.5,2013
748,Nick Rimando,Real Salt Lake,27,27,112,82,28,14,7,6,9,51.9,73.2,2013
749,Raul Fernandez,FC Dallas,26,26,129,88,41,7,10,9,7,26.9,68.2,2013
750,Bill Hamid,D.C. United,25,25,119,80,39,2,17,6,4,8.0,67.2,2013
751,Bobby Shuttleworth,Chicago FIre FC,23,22,96,64,30,7,11,5,9,30.4,66.7,2013
752,Carlo Cudicini,LA Galaxy,21,21,68,39,27,9,8,4,7,42.9,57.4,2013
753,Andy Gruenebaum,Columbus Crew,21,21,100,71,28,5,11,5,4,23.8,71.0,2013
754,David Ousted,Vancouver Whitecaps FC,13,13,54,37,16,4,5,4,4,30.8,68.5,2013
755,Matt Lampson,Columbus Crew,13,13,63,43,18,7,6,0,5,53.8,68.3,2013
756,Matt Reis,New England Revolution,12,12,37,29,8,7,0,4,5,58.3,78.4,2013
757,Brad Knighton,New England Revolution,11,11,50,35,15,6,3,2,2,54.5,70.0,2013
758,Joe Cannon,Vancouver Whitecaps FC,10,10,42,31,14,3,4,3,1,30.0,73.8,2013
759,Jaime Penedo,LA Galaxy,9,9,31,24,7,4,1,4,4,44.4,77.4,2013
760,Joe Willis,Nashville SC,9,9,47,28,20,1,7,1,1,11.1,59.6,2013
761,Chris Seitz,D.C. United,8,8,36,24,11,4,2,2,2,50.0,66.7,2013
762,Paolo Tornaghi,Chicago FIre FC,6,6,24,12,13,2,3,1,0,33.3,50.0,2013
763,Jeff Attinella,Portland Timbers,5,4,24,14,9,1,2,1,1,20.0,58.3,2013
764,Brian Rowe ,Orlando City SC,4,4,19,14,4,2,2,0,2,50.0,73.7,2013
765,Marcus Hahnemann,Seattle Sounders FC,4,4,10,6,4,2,2,0,1,50.0,60.0,2013
766,Andrew Weber,Seattle Sounders FC,3,2,8,5,3,1,1,1,0,33.3,62.5,2013
767,Josh Saunders,Real Salt Lake,3,3,18,13,4,1,1,1,0,33.3,72.2,2013
768,Matt Pickens,Colorado Rapids,2,2,4,2,2,0,1,0,0,0.0,50.0,2013
769,Patrick McLain,Chivas USA,2,1,10,4,6,0,1,0,0,0.0,40.0,2013
770,Tim Melia,Sporting Kansas City,2,2,15,8,7,0,2,0,0,0.0,53.3,2013
771,Milos Kocic,Portland Timbers,2,2,10,7,2,1,0,1,1,50.0,70.0,2013
772,Stefan Frei,Seattle Sounders FC,1,1,3,2,1,0,1,0,0,0.0,66.7,2013
773,Steward Ceus,Colorado Rapids,1,1,6,5,1,0,1,0,0,0.0,83.3,2013
774,David Bingham,LA Galaxy,1,1,8,7,1,1,0,0,0,100.0,87.5,2013
775,Evan Bush,CF Montreal,1,1,7,6,1,0,1,0,0,0.0,85.7,2013
776,Ryan Meara,New York City Red Bulls,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
777,Santiago Castaño,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
778,Luis Soffner,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
779,Kyle Zobeck,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
780,Daniel Withrow,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
781,Maxime Crepeau,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
782,Alec Kann,Atlanta United,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
783,Jesse Gonzalez,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
784,Evan Newton,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
785,Jake Gleeson,Portland Timbers,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
786,Richard Sanchez,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
787,Jon Kempin,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
788,Tyler Deric,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
789,Erich Marscheider,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
790,Quillan Roberts,Toronto FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
791,Lalo Fernandez,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
792,Josh Ford,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
793,Simon Thomas,CAN,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
794,Andrew Dykstra,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
795,Brian Perk,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
796,Eric Kronberg,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
797,Chris Konopka,Philadelphia Union,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
798,Kevin Hartman,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
799,Oka Nikolov,Philadelphia Union,0,0,0,0,0,0,0,0,0,0.0,0.0,2013
800,Jon Busch,San Jose Earthquakes,34,34,191,137,50,6,16,12,6,17.6,71.7,2014
801,Luis Robles,Inter Miami CF,34,34,171,111,50,13,10,11,6,38.2,64.9,2014
802,David Ousted,Vancouver Whitecaps FC,34,34,140,96,40,12,8,14,13,35.3,68.6,2014
803,Stefan Frei,Seattle Sounders FC,34,34,149,99,50,20,10,4,9,58.8,66.4,2014
804,Steve Clark,Portland Timbers,34,34,153,111,42,14,10,10,8,41.2,72.5,2014
805,Dan Kennedy,Chivas USA,33,33,155,93,57,9,18,6,6,27.3,60.0,2014
806,Sean Johnson,New York City,33,33,149,96,49,6,9,18,6,18.2,64.4,2014
807,Donovan Ricketts,Portland Timbers,32,32,151,105,44,12,7,12,7,37.5,69.5,2014
808,Bobby Shuttleworth,Chicago FIre FC,32,32,141,94,40,16,12,4,8,50.0,66.7,2014
809,Bill Hamid,D.C. United,30,30,146,110,34,14,9,7,10,46.7,75.3,2014
810,Zac MacMath,Real Salt Lake,29,29,125,77,45,9,10,10,5,31.0,61.6,2014
811,Jaime Penedo,LA Galaxy,29,29,115,81,33,15,7,7,8,51.7,70.4,2014
812,Joe Bendik,Philadelphia Union,27,27,125,82,45,8,11,8,4,29.6,65.6,2014
813,Clint Irwin,Colorado Rapids,26,25,125,73,49,7,15,4,7,26.9,58.4,2014
814,Tally Hall,Houston Dynamo FC,24,24,115,67,44,8,12,4,7,33.3,58.3,2014
815,Nick Rimando,Real Salt Lake,24,24,97,71,25,13,4,7,7,54.2,73.2,2014
816,Raul Fernandez,FC Dallas,21,20,95,66,25,9,8,3,4,42.9,69.5,2014
817,Troy Perkins,CF Montreal,21,21,102,66,35,4,12,5,5,19.0,64.7,2014
818,Eric Kronberg,KC ,20,20,73,45,22,7,8,5,7,35.0,61.6,2014
819,Chris Seitz,D.C. United,14,14,67,44,20,7,4,3,2,50.0,65.7,2014
820,Evan Bush,CF Montreal,13,13,79,52,23,2,6,5,3,15.4,65.8,2014
821,Tyler Deric,Houston Dynamo FC,11,10,53,36,14,3,5,2,3,27.3,67.9,2014
822,Andy Gruenebaum,KC ,11,11,45,34,12,6,3,2,3,54.5,75.6,2014
823,Jeff Attinella,Portland Timbers,10,10,60,45,14,2,4,4,3,20.0,75.0,2014
824,Júlio César,BRA,7,7,27,18,9,3,4,0,2,42.9,66.7,2014
825,John Berner,Colorado Rapids,5,5,12,6,6,1,1,3,2,20.0,50.0,2014
826,Joe Nasco,Colorado Rapids,4,4,19,13,7,0,2,1,0,0.0,68.4,2014
827,Jon Kempin,Columbus Crew,4,3,13,5,7,1,2,0,0,25.0,38.5,2014
828,Rais MBolhi,ALG,4,4,13,7,4,1,1,2,1,25.0,53.8,2014
829,Andrew Dykstra,D.C. United,4,4,9,6,3,3,0,1,2,75.0,66.7,2014
830,Andrew Weber,Portland Timbers,3,2,16,8,8,0,2,1,0,0.0,50.0,2014
831,Brian Rowe ,Orlando City SC,3,3,13,10,3,1,0,2,1,33.3,76.9,2014
832,Tim Melia,Sporting Kansas City,2,1,4,1,3,0,1,0,0,0.0,25.0,2014
833,Brian Perk,LA Galaxy,2,2,3,2,1,1,0,1,1,50.0,66.7,2014
834,Brad Knighton,New England Revolution,2,2,12,6,6,1,1,0,0,50.0,50.0,2014
835,Trevor Spangenberg,Chivas USA,1,0,2,1,1,0,0,0,0,0.0,50.0,2014
836,Andre Blake,Philadelphia Union,1,1,8,7,2,0,1,0,0,0.0,87.5,2014
837,Kyle Reynish,Chicago FIre FC,1,1,4,2,2,0,1,0,0,0.0,50.0,2014
838,Chris Konopka,Toronto FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
839,Marcus Hahnemann,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
840,Matt Pickens,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
841,Paolo Tornaghi,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
842,David Bingham,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
843,Jake Gleeson,Portland Timbers,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
844,Richard Sanchez,Sporting Kansas City,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
845,Joe Willis,Nashville SC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
846,Josh Ford,Seattle Sounders FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
847,Marco Carducci,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
848,Billy Knutsen,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
849,Larry Jackson,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
850,Matt Lampson,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
851,Ryan Meara,New York City Red Bulls,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
852,Bryan Meredith,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
853,Quillan Roberts,Toronto FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
854,Lalo Fernandez,Real Salt Lake,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
855,Brian Holt,Philadelphia Union,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
856,Michael Lisch,Houston Dynamo FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
857,Santiago Castaño,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
858,Brad Stuver,New York City,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
859,Luis Soffner,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
860,Maxime Crepeau,Vancouver Whitecaps FC,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
861,Alec Kann,Atlanta United,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
862,Jesse Gonzalez,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
863,Luis Robles,Inter Miami CF,34,34,131,86,43,18,10,6,9,52.9,65.6,2015
864,David Ousted,Vancouver Whitecaps FC,34,34,137,99,36,16,13,5,13,47.1,72.3,2015
865,David Bingham,LA Galaxy,34,34,147,105,39,13,13,8,12,38.2,71.4,2015
866,Steve Clark,Portland Timbers,34,34,168,114,53,15,11,8,6,44.1,67.9,2015
867,Adam Kwarasey,Portland Timbers,33,33,120,80,36,15,10,8,13,45.5,66.7,2015
868,Josh Saunders,New York City,33,33,188,123,57,10,16,7,4,30.3,65.4,2015
869,Stefan Frei,Seattle Sounders FC,31,31,144,111,33,14,10,6,10,45.2,77.1,2015
870,Bobby Shuttleworth,Chicago FIre FC,31,31,125,78,41,13,11,7,8,41.9,62.4,2015
871,Tyler Deric,Houston Dynamo FC,31,31,139,89,44,10,13,8,7,32.3,64.0,2015
872,Evan Bush,CF Montreal,31,31,142,99,39,15,12,4,9,48.4,69.7,2015
873,Clint Irwin,Colorado Rapids,31,31,125,88,38,8,13,10,8,25.8,70.4,2015
874,Bill Hamid,D.C. United,25,25,133,101,29,11,9,5,8,44.0,75.9,2015
875,Nick Rimando,Real Salt Lake,24,24,93,66,24,8,9,7,8,33.3,71.0,2015
876,Tally Hall,Orlando City SC,23,23,114,73,41,10,8,5,5,43.5,64.0,2015
