,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
97,Mark Simpson,D.C. United,2,2,8,3,5,0,2,0,0,0.0,37.5,1996
98,Matt Jordan,FC Dallas,1,1,4,1,3,0,1,0,0,0.0,25.0,1996
99,Bill Andracki,Metropolitan Oval,1,1,6,5,1,0,1,0,0,0.0,83.3,1996
100,Tim Howard,Metropolitan Oval,1,1,8,5,1,1,0,0,0,100.0,62.5,1996
101,Scott Coufal,Chicago FIre FC,1,1,5,2,3,0,1,0,0,0.0,40.0,1996
102,Randy Dedini,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
103,Manuel Carou,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
104,Kevin East,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
105,Dusty Hudock,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
106,Emmett Idzahl,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
107,Jeremy Oetman,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
108,Reginald Pierre-Jerome,Inter Miami CF,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
109,Kevin Rueda,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
110,Mike Littman,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
111,Mike McGinty,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
112,David Allred,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
113,Joe Cannon,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
114,Kevin Hartman,LA Galaxy,32,32,150,118,29,20,12,0,11,62.5,78.7,1996
115,Mark Dougherty,Columbus Crew,31,31,152,106,35,18,12,0,6,58.1,69.7,1996
116,Zach Thornton,Chicago FIre FC,30,30,137,99,32,17,12,0,7,56.7,72.3,1996
117,Matt Jordan,FC Dallas,29,29,172,133,31,17,11,0,11,58.6,77.3,1996
118,Scott Garlick,TB ,28,28,193,152,36,14,13,0,5,50.0,78.8,1996
119,Tom Presthus,D.C. United,26,26,129,88,34,17,8,0,3,65.4,68.2,1996
120,Walter Zenga,New England Revolution,25,25,140,87,45,5,13,0,2,20.0,62.1,1996
121,Mike Ammann,Metropolitan Oval,24,24,155,91,51,6,18,0,2,25.0,58.7,1996
122,Joe Cannon,San Jose Earthquakes,24,24,131,96,32,14,10,0,4,58.3,73.3,1996
123,Ian Feuer,Colorado Rapids,19,19,99,70,23,10,9,0,8,52.6,70.7,1996
124,Jeff Causey,New England Revolution,16,7,49,32,8,7,7,0,1,43.8,65.3,1996
125,Garth Lagerwey,Inter Miami CF,16,14,107,77,27,7,7,0,3,43.8,72.0,1996
126,Chris Snitko,KC ,16,15,95,66,26,4,10,0,2,25.0,69.5,1996
127,Jeff Cassar,Inter Miami CF,15,15,83,45,25,5,10,0,3,33.3,54.2,1996
128,Marcus Hahnemann,Colorado Rapids,13,13,85,68,14,10,3,0,4,76.9,80.0,1996
129,Mark Simpson,D.C. United,9,6,48,37,9,6,1,0,1,66.7,77.1,1996
130,Tim Howard,Metropolitan Oval,9,8,55,37,13,1,7,0,0,11.1,67.3,1996
131,Tony Meola,KC ,9,9,48,36,10,1,8,0,3,11.1,75.0,1996
132,David Winner,KC ,8,7,42,27,13,3,5,0,0,37.5,64.3,1996
133,David Kramer,San Jose Earthquakes,8,8,55,35,17,5,3,0,0,62.5,63.6,1996
134,Mark Dodd,FC Dallas,6,3,23,18,4,2,2,0,1,33.3,78.3,1996
135,Andy Kirk,TB ,6,4,32,18,14,0,5,0,0,0.0,56.3,1996
136,Greg Sutton,Chicago FIre FC,3,2,19,14,4,1,2,0,0,33.3,73.7,1996
137,Dusty Hudock,Inter Miami CF,3,3,19,12,7,1,2,0,0,33.3,63.2,1996
138,Matt Napoleon,Columbus Crew,2,1,9,5,4,1,1,0,0,50.0,55.6,1996
139,Matt Reis,LA Galaxy,1,0,1,1,0,0,0,0,0,0.0,100.0,1996
140,Russell Payne,Colorado Rapids,1,0,2,0,2,0,0,0,0,0.0,0.0,1996
141,Cesar Delgado,KC ,1,1,8,4,4,0,1,0,0,0.0,50.0,1996
142,Kevin East,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
143,Randy Dedini,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
144,Kori Hunter,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
145,Kurt Kelley,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
146,Anthony Latronica,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
147,Mike Littman,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
148,Bill May,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
149,Steve McAnulty,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
150,Mike McGinty,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
151,Johnny Morton,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
152,David Allred,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
153,Bill Andracki,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
154,Juergen Sommer,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
155,Jon Busch,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
156,Miguel Pineda,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
157,Matt Nyman,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
158,J.J. Wozniak,San Jose Earthquakes,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
159,Scott Vallow,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
160,Jim Welch,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
161,Scott Garlick,TB ,32,32,247,184,50,16,12,4,6,50.0,74.5,1996
162,Tony Meola,KC ,31,31,162,129,29,15,7,9,16,48.4,79.6,1996
163,Matt Jordan,FC Dallas,31,31,188,124,53,13,14,4,7,41.9,66.0,1996
164,Joe Cannon,San Jose Earthquakes,26,26,181,137,40,6,13,7,7,23.1,75.7,1996
165,Kevin Hartman,LA Galaxy,26,26,126,91,27,12,7,7,7,46.2,72.2,1996
166,Mark Dougherty,Columbus Crew,25,25,170,111,46,10,12,3,3,40.0,65.3,1996
167,Zach Thornton,Chicago FIre FC,25,25,127,91,33,15,4,6,5,60.0,71.7,1996
168,Mike Ammann,Metropolitan Oval,22,22,162,108,35,11,9,1,2,50.0,66.7,1996
169,Jeff Causey,New England Revolution,22,21,110,67,34,8,8,5,3,36.4,60.9,1996
170,Nick Rimando,Inter Miami CF,22,22,150,102,41,10,11,1,2,45.5,68.0,1996
171,Tom Presthus,D.C. United,20,20,127,78,42,4,13,2,2,20.0,61.4,1996
172,David Kramer,Colorado Rapids,20,19,125,79,33,9,8,3,4,45.0,63.2,1996
173,Adin Brown,Colorado Rapids,13,13,102,72,26,4,7,1,2,30.8,70.6,1996
174,Mark Simpson,D.C. United,13,12,59,38,21,4,5,4,1,30.8,64.4,1996
175,Juergen Sommer,New England Revolution,11,11,62,40,15,5,5,1,2,45.5,64.5,1996
176,Jeff Cassar,Inter Miami CF,9,9,41,28,10,2,2,4,2,22.2,68.3,1996
177,Tim Howard,Metropolitan Oval,9,8,63,40,14,5,2,2,4,55.6,63.5,1996
178,Matt Napoleon,Columbus Crew,8,7,38,26,12,1,4,2,1,12.5,68.4,1996
179,Jon Conway,San Jose Earthquakes,6,6,43,31,10,1,4,1,2,16.7,72.1,1996
180,Matt Reis,LA Galaxy,6,6,31,21,10,2,3,1,1,33.3,67.7,1996
181,Chris Snitko,Chicago FIre FC,5,5,31,20,10,2,3,0,1,40.0,64.5,1996
182,Garth Lagerwey,Inter Miami CF,2,1,17,11,5,0,2,0,0,0.0,64.7,1996
183,Greg Sutton,Chicago FIre FC,2,2,21,12,8,0,2,0,0,0.0,57.1,1996
184,Paul Grafer,Metropolitan Oval,2,2,17,12,5,1,1,0,0,50.0,70.6,1996
185,Paul Marcoullier,D.C. United,1,0,0,0,0,0,0,0,0,0.0,0.0,1996
186,Russell Payne,LA Galaxy,1,0,5,1,2,0,0,0,0,0.0,20.0,1996
187,Johann Noetzel,FC Dallas,1,1,8,7,1,1,0,0,0,100.0,87.5,1996
188,Bo Oshoniyi,KC ,1,1,3,2,0,1,0,0,1,100.0,66.7,1996
189,Preston Burpo,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
190,Chuck Browder,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
191,Scott Budnick,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
192,Jon Busch,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
193,Matt Nyman,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
194,Anthony Latronica,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
195,Matt Nelson,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
196,Andy Kirk,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
197,Greg Connel,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
198,Rich Cullen,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
199,Randy Dedini,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
200,Tom Tate,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
201,Scott Vallow,Chicago FIre FC,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
202,Peter Van Deven,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
203,David Winner,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
204,Zach Thornton,Chicago FIre FC,27,27,145,111,30,16,6,5,9,59.3,76.6,1996
205,Tim Howard,Metropolitan Oval,26,26,190,146,35,13,10,3,4,50.0,76.8,1996
206,Matt Jordan,FC Dallas,26,26,138,91,45,10,11,5,9,38.5,65.9,1996
207,Scott Garlick,Colorado Rapids,26,26,205,138,56,6,15,5,1,23.1,67.3,1996
208,Nick Rimando,Inter Miami CF,25,25,155,116,33,15,5,5,5,60.0,74.8,1996
209,Joe Cannon,San Jose Earthquakes,25,25,134,101,28,13,6,6,7,52.0,75.4,1996
210,Tom Presthus,Columbus Crew,25,25,178,136,35,12,7,6,5,48.0,76.4,1996
211,Adin Brown,Colorado Rapids,22,22,179,118,51,3,16,3,3,13.6,65.9,1996
212,Mike Ammann,D.C. United,19,19,111,73,38,3,14,2,1,15.8,65.8,1996
213,Tony Meola,KC ,17,17,111,80,28,7,8,2,4,41.2,72.1,1996
214,Matt Reis,LA Galaxy,16,15,76,52,22,8,3,4,6,50.0,68.4,1996
