Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Tim Cahill,,M,5,2,233,1,0,7,1,0,0/0,0,1,0.39,14.3,0,0,0,0,6,6,3,1,0,14.29,2014,post
Gyasi Zardes,,F,5,5,480,1,0,11,3,0,0/0,1,0,0.19,9.1,0,0,0,0,6,4,4,0,0,27.27,2014,post
Clint Dempsey,,M-F,4,4,359,1,0,18,10,1,0/0,1,0,0.25,5.6,0,0,0,0,4,8,2,0,0,55.56,2014,post
Thierry Henry,,F,5,5,441,0,5,8,2,0,0/0,0,0,0,0,1,3,2,1.02,3,3,1,1,0,25,2014,post
A.J. DeLaGarza,,D,4,4,361,0,2,1,0,0,0/0,0,0,0,0,2,2,0,0.5,4,2,0,1,0,0,2014,post
Scott Caldwell,,M,5,5,418,0,2,1,0,0,0/0,0,0,0,0,0,1,1,0.43,4,3,0,1,0,0,2014,post
Steven Birnbaum,,D,2,2,180,0,1,0,0,0,0/0,0,0,0,0,1,1,0,0.5,5,0,0,0,0,,2014,post
Ambroise Oyongo,,D,5,2,218,0,1,0,0,0,0/0,0,0,0,0,1,1,0,0.41,8,1,0,2,0,,2014,post
Omar Gonzalez,,D,5,5,480,0,1,1,0,0,0/0,0,0,0,0,0,0,1,0.19,6,4,0,1,0,0,2014,post
Daigo Kobayashi,,M,3,0,78,0,1,1,0,0,0/0,0,0,0,0,0,1,0,1.15,0,1,0,0,0,0,2014,post
Taylor Kemp,,D,2,2,160,0,1,2,2,0,0/0,0,0,0,0,0,1,0,0.56,5,0,0,1,0,100,2014,post
Mauro Diaz,,M,2,2,169,0,1,2,0,0,0/0,0,0,0,0,0,1,0,0.53,2,11,0,1,0,0,2014,post
Patrick Mullins,,F,3,0,64,0,1,4,3,0,0/0,0,0,0,0,0,0,1,1.41,1,1,1,0,0,75,2014,post
Robbie Rogers,,D,5,5,435,0,1,5,1,0,0/0,0,0,0,0,0,1,0,0.21,4,7,0,2,0,20,2014,post
Stefan Ishizaki,,M,4,4,334,0,1,6,2,0,0/0,0,0,0,0,0,1,0,0.27,2,4,2,1,0,33.33,2014,post
Fabian Espindola,,F,2,2,180,0,1,9,2,0,0/0,0,0,0,0,0,1,0,0.5,3,2,1,1,1,22.22,2014,post
Kelyn Rowe,,M,5,4,352,0,1,9,2,0,0/0,0,0,0,0,0,0,1,0.26,7,6,0,0,0,22.22,2014,post
Marco Pappa,,M,4,3,204,0,1,9,3,0,0/0,0,0,0,0,0,0,1,0.44,4,2,0,0,0,33.33,2014,post
Lloyd Sam,,M-F,5,5,449,0,1,10,6,0,0/0,0,0,0,0,1,1,0,0.2,10,8,1,1,0,60,2014,post
Shalrie Joseph,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Bobby Convey,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kenny Cooper,,F,1,0,25,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Djimi Traore,,D,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Peter Luccin,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Emanuel Pogatetz,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Lewis Neal,,M,1,0,24,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Onyekachi Apam,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Rob Friend,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Chad Barrett,,F,1,0,28,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2014,post
Ned Grabavoy,,M,1,1,65,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Bobby Boswell,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,,2014,post
Tyson Wahl,,D,2,2,124,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2014,post
Jair Benítez,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Gonzalo Pineda,,M,3,3,255,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,4,0,0,0,,2014,post
Jared Jeffrey,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
George John,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kevin Alston,,D,4,2,224,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,5,0,0,0,,2014,post
Adam Moffat,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Armando,,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Daniel Paladini,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Abdoulie Mansally,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Tony Beltran,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,3,0,2,0,,2014,post
Nat Borchers,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2014,post
Richard Eckersley,,D,5,5,435,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,9,3,0,1,0,,2014,post
Damien Perrinelle,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Roy Miller,,D,3,3,258,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,1,2,2,1,,2014,post
Nana Attakora,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Todd Dunivant,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jeff Parke,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Dan Gargan,,D,5,2,254,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,0,0,,2014,post
Stephen Keel,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
James Riley,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kosuke Kimura,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Saer Sene,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Cam Weaver,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Leonardo González,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,7,1,0,1,0,,2014,post
Tony Taylor,,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Aaron Maund,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Geoffrey Castillion,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Agustin Viana,,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Samuel Inkoom,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Hendry Thomas,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Zach Scott,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,8,4,0,1,0,,2014,post
Darrius Barnes,,D,1,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2014,post
Tristan Bowen,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Zach Loyd,,D,3,3,270,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,4,0,0,0,,2014,post
Eric Gehrig,,D,2,1,77,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2014,post
Cole Grossman,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Andre Akpan,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Chris Schuler,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Conor Doyle,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kyle Porter,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Rich Balchan,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Luis Silva,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kenney Walker,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Sebastian Velasquez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Rafael Garcia ,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kevan George,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Matt Hedges,,D,3,3,270,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,6,5,0,0,0,,2014,post
Chandler Hoffman,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
John Stertzer,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Brian Span,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jose Villarreal,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ben Speas,,M-F,1,0,16,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Alex Caskey,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Conor Shanosky,,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Chris Korb,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Stephen McCarthy,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Perry Kitchen,,M,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,,2014,post
Jalil Anibaba,,D,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Moises Hernandez,,D,2,2,175,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,2014,post
Jonathan Top,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Diego Fagundez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jack McBean,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jerry Bengtson,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ruben Bover,,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Dimitry Imbongo,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
David Texeira,,F,2,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Andrés Escobar,,F,3,1,107,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,3,1,1,0,,2014,post
Connor Lade,,D,2,0,5,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Justen Glad,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Coy Craft,,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Romain Gall,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Walter Cabrera,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ross Friedman,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Bradford Jamieson IV,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Raul Mendiola,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Nicholas Walker,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Carlos Salcedo,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Marius Obekop,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Matt Wiet,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ryan Hollingshead,,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Sean Okoli,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jalen Robinson,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Chris Duvall,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Collin Martin,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Matt Walker,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Danny Garcia,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Sebastian Jaime,,F,1,0,20,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Oscar Sorto,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kellyn Acosta,,M,1,0,14,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2014,post
Olmes Garcia,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Chad Barson,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
DeAndre Yedlin,,D,4,4,360,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,1,0,,2014,post
Michael Seaton,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ian Christianson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Alec Sundly,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jossimar Sanchez,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Michael Bustamante,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Charlie Rugg,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kofi Opare,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Donnie Smith,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Devon Sandoval,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Dylan Remick,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Damion Lowe,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Steve Neumann,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Jimmy Ockford,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Ben Sweat,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Aaron Long,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Matt Miazga,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kevin Parsemain,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Benji Lopez,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Aaron Kovar,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Fifi Baiden,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Eric Stevenson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Kyle Venter,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,post
Walker Zimmerman,,D,2,1,95,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2014,post
Wil Trapp,,M,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2014,post
Adam Bedell,,F,1,0,45,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,2014,post
A.J. Soares,,D,5,5,480,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,2014,post
Waylon Francis,,D,2,2,163,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2014,post
Tommy Meyer,,D,2,1,143,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,post
Andy Rose,,M,2,0,25,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,post
Josh Williams,,D,1,0,34,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,post
Hector Jimenez,,M,2,2,159,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2014,post
David Estrada,,M-F,1,0,17,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2014,post
Leonardo,,D,3,3,247,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2014,post
Lamar Neagle,,M,3,2,175,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,2,2,0,0,100,2014,post
Andy Dorman,,M,3,0,43,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,post
Chris Wingert,,D,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2014,post
Robbie Findley,,F,1,0,25,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,post
Blas Pérez,,F,3,3,259,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2014,post
Michael Parkhurst,,D,2,2,180,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,post
Ibrahim Sekagya,,D,5,5,446,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,3,4,0,1,0,50,2014,post
Chad Marshall,,D,4,4,360,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,50,2014,post
Chris Rolfe,,F,2,1,82,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2014,post
Luis Gil,,M,2,1,125,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,post
Bernardo Añor,,M,1,0,17,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,1,0,50,2014,post
Aaron Schoenfeld ,,F,1,1,90,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,4,2,0,0,0,50,2014,post
Jairo Arrieta,,F,2,1,85,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,2014,post
Joao Plata,,F,2,2,180,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,4,3,2,0,0,100,2014,post
Je-Vaughn Watson,,D,3,3,270,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2014,post
Micheal Azira,,M,4,1,148,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2014,post
Andrew Farrell,,D,4,4,390,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,1,2,0,1,0,33.33,2014,post
Luke Mulholland,,M,2,2,145,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2014,post
Victor Ulloa,,M,3,3,256,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,6,4,0,0,0,33.33,2014,post
Alvaro Saborio,,F,2,2,180,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,3,3,6,1,0,66.67,2014,post
Eddie Johnson,,F,2,1,120,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,2014,post
Jámison Olave,,D,5,5,450,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,6,8,1,0,0,33.33,2014,post
Baggio Husidic,,M,4,1,135,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2014,post
Chris Pontius,,M,2,2,147,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,1,5,0,0,0,33.33,2014,post
Javier Morales,,M,2,2,160,0,0,4,2,0,0/0,0,0,0,0,0,0,0,0,5,7,0,0,0,50,2014,post
Davy Arnaud,,M,2,2,150,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,3,5,0,0,0,25,2014,post
Kyle Beckerman,,M,2,2,180,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,25,2014,post
Ethan Finlay,,M,2,2,151,0,0,4,2,0,0/0,0,0,0,0,0,0,0,0,3,2,3,0,1,50,2014,post
Alan Gordon,,F,5,0,66,0,0,5,0,0,0/0,0,0,0,0,0,0,0,0,5,3,1,1,0,0,2014,post
Dax McCarty,,M,5,5,450,0,0,5,1,0,0/0,0,0,0,0,0,0,0,0,8,12,0,2,0,20,2014,post
Eric Alexander,,M,5,5,385,0,0,5,1,0,0/0,0,0,0,0,0,0,0,0,3,5,0,1,0,20,2014,post
Fabian Castillo,,M-F,3,3,270,0,0,6,1,0,0/0,0,0,0,0,0,0,0,0,4,6,0,0,0,16.67,2014,post
Obafemi Martins,,F,4,4,360,0,0,8,3,0,0/0,0,0,0,0,0,0,0,0,5,11,3,0,0,37.5,2014,post
Kei Kamara,,F,5,5,480,4,0,18,11,0,0/1,4,0,0.75,22.2,0,0,0,0,2,4,4,0,0,61.11,2015,post
Patrice Bernier,,M,3,3,224,2,1,5,4,1,0/0,2,0,0.8,40,0,1,0,0.4,3,3,1,0,0,80,2015,post
Rodney Wallace,,D,5,5,447,2,1,10,4,1,0/0,1,1,0.4,20,1,0,1,0.2,13,4,0,2,0,40,2015,post
Fanendo Adi,,F,6,6,525,2,1,10,6,1,0/0,0,2,0.34,20,0,0,1,0.17,16,7,6,0,0,60,2015,post
Clint Dempsey,,M-F,3,3,300,2,0,7,4,1,0/0,2,0,0.6,28.6,0,0,0,0,2,5,2,0,0,57.14,2015,post
Diego Valeri,,M,5,5,474,1,4,11,7,0,0/0,0,1,0.19,9.1,1,1,3,0.76,11,12,1,3,0,63.64,2015,post
Dairon Asprilla,,M-F,6,3,330,1,3,7,3,1,0/0,1,0,0.27,14.3,0,2,1,0.82,6,4,0,1,0,42.86,2015,post
Federico Higuain,,F,5,5,480,1,2,7,2,0,0/0,0,1,0.19,14.3,0,2,0,0.38,5,5,1,0,0,28.57,2015,post
Gyasi Zardes,,F,1,1,90,1,1,2,2,0,0/0,0,1,1,50,0,0,1,1,1,1,0,0,0,100,2015,post
Andreas Ivanschitz,,M,3,3,297,1,1,4,4,0,0/0,1,0,0.3,25,0,1,0,0.3,7,3,0,1,0,100,2015,post
Blas Pérez,,F,3,0,94,1,1,7,2,0,0/0,1,0,0.96,14.3,1,1,0,0.96,4,2,0,1,0,28.57,2015,post
Lucas Melano,,F,6,4,305,1,1,9,3,0,0/0,0,1,0.3,11.1,1,0,1,0.3,3,2,0,1,0,33.33,2015,post
Ignacio Piatti,,M,3,3,300,1,1,16,5,0,0/0,1,0,0.3,6.3,1,1,0,0.3,4,7,1,0,0,31.25,2015,post
Chris Pontius,,M,1,1,54,1,0,1,1,0,0/0,1,0,1.67,100,0,0,0,0,0,0,0,0,0,100,2015,post
Kevin Ellis,,D,1,1,120,1,0,1,1,0,0/0,0,1,0.75,100,0,0,0,0,2,1,0,1,0,100,2015,post
Diego Chara,,M,4,4,360,1,0,1,1,0,0/0,0,1,0.25,100,0,0,0,0,9,7,0,2,0,100,2015,post
Walker Zimmerman,,D,2,1,126,1,0,2,1,1,0/0,1,0,0.71,50,0,0,0,0,2,2,0,0,0,50,2015,post
Anatole Abang,,F,2,0,22,1,0,2,1,1,0/0,1,0,4.09,50,0,0,0,0,0,0,0,0,0,50,2015,post
Dilly Duka,,M,3,2,178,1,0,2,1,0,0/0,0,1,0.51,50,0,0,0,0,0,2,0,0,0,50,2015,post
Juan Agudelo,,F,1,1,70,1,0,3,1,0,0/0,0,1,1.29,33.3,0,0,0,0,2,3,0,0,0,33.33,2015,post
Krisztian Nemeth,,F,1,1,110,1,0,3,2,0,0/0,0,1,0.82,33.3,0,0,0,0,2,0,0,1,0,66.67,2015,post
Chad Marshall,,D,3,3,300,1,0,3,1,0,0/0,0,1,0.3,33.3,0,0,0,0,0,3,0,0,0,33.33,2015,post
Liam Ridgewell,,D,5,5,451,1,0,3,3,0,0/0,1,0,0.2,33.3,0,0,0,0,8,9,1,1,0,100,2015,post
