Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Chris Brown,,M-F,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Francisco Gomez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Troy Dayak,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Manny Lagos,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Alejandro Moreno,,F,2,1,73,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,3,0,0,0,,2004,post
Brian Mullan,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,6,0,1,0,,2004,post
Eddie Robinson,,D,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Chris Roner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Ezra Hendrickson,,D,2,1,142,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2004,post
Robin Fraser,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,,2004,post
Wes Hart,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Ritchie Kotschau,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,6,4,0,2,0,,2004,post
Seth Trembly,,M-D,2,0,36,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,0,0,,2004,post
Paul Broome,,M,3,2,209,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,5,0,2,0,,2004,post
Ryan Suarez,,D,1,0,9,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Joselito Vaca,,M,1,0,14,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2004,post
Luke Vercollone,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,post
Rey Angel Martinez,,F,1,0,15,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2004,post
