Player,Club,POS,GP,GS,SHTS,SV,GA,W,L,T,ShO,W%,Sv%,Year,Season
Richard Sanchez,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Joe Willis,NSH,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Billy Knutsen,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Larry Jackson,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Matt Lampson,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Brian Holt,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Michael Lisch,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Santiago Castaño,NY ,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Luis Soffner,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2014,reg
Luis Robles,MIA,GK,34,34,131,86,43,18,10,6,9,52.9,65.6,2015,reg
David Ousted,VAN,GK,34,34,137,99,36,16,13,5,13,47.1,72.3,2015,reg
David Bingham,LA,GK,34,34,147,105,39,13,13,8,12,38.2,71.4,2015,reg
Steve Clark,POR,GK,34,34,168,114,53,15,11,8,6,44.1,67.9,2015,reg
Adam Kwarasey,POR,GK,33,33,120,80,36,15,10,8,13,45.5,66.7,2015,reg
Josh Saunders,NYC,GK,33,33,188,123,57,10,16,7,4,30.3,65.4,2015,reg
Stefan Frei,SEA,GK,31,31,144,111,33,14,10,6,10,45.2,77.1,2015,reg
Bobby Shuttleworth,CHI,GK,31,31,125,78,41,13,11,7,8,41.9,62.4,2015,reg
Tyler Deric,HOU,GK,31,31,139,89,44,10,13,8,7,32.3,64,2015,reg
Evan Bush,MTL,GK,31,31,142,99,39,15,12,4,9,48.4,69.7,2015,reg
Clint Irwin,COL,GK,31,31,125,88,38,8,13,10,8,25.8,70.4,2015,reg
Bill Hamid,DC,GK,25,25,133,101,29,11,9,5,8,44,75.9,2015,reg
Nick Rimando,RSL,GK,24,24,93,66,24,8,9,7,8,33.3,71,2015,reg
Tally Hall,ORL,GK,23,23,114,73,41,10,8,5,5,43.5,64,2015,reg
Tim Melia,SKC,GK,23,23,113,82,28,11,8,4,8,47.8,72.6,2015,reg
Sean Johnson,NYC,GK,21,21,90,59,32,5,11,5,4,23.8,65.6,2015,reg
Donovan Ricketts,LA ,GK,21,21,92,58,32,7,9,5,3,33.3,63,2015,reg
Chris Konopka,TOR,GK,21,21,92,62,31,11,7,3,4,52.4,67.4,2015,reg
Dan Kennedy,DAL,GK,16,16,48,30,19,7,5,4,5,43.8,62.5,2015,reg
Jaime Penedo,LA ,GK,16,16,69,50,19,6,4,6,5,37.5,72.5,2015,reg
Joe Bendik,PHI,GK,13,13,72,45,27,4,8,1,1,30.8,62.5,2015,reg
Jon Busch,CHI,GK,12,12,57,35,24,3,8,1,1,25,61.4,2015,reg
Brian Sylvestre,PHI,GK,12,12,50,30,19,5,6,1,5,41.7,60,2015,reg
John McCarthy,MIA,GK,11,11,41,22,18,3,5,3,2,27.3,53.7,2015,reg
Jesse Gonzalez,DAL,GK,11,11,47,37,10,7,3,1,5,63.6,78.7,2015,reg
Jeff Attinella,POR,GK,10,10,64,40,24,3,6,1,1,30,62.5,2015,reg
Andrew Dykstra,DC ,GK,9,9,57,40,16,3,4,1,0,33.3,70.2,2015,reg
Luis Marin,KC ,GK,8,8,30,19,12,2,2,4,3,25,63.3,2015,reg
Chris Seitz,DC,GK,7,7,27,17,10,4,2,1,3,57.1,63,2015,reg
Brian Rowe ,ORL,GK,7,7,22,13,9,3,3,1,2,42.9,59.1,2015,reg
Andre Blake,PHI,GK,6,6,34,26,9,2,3,1,2,33.3,76.5,2015,reg
Rais MBolhi,ALG,GK,5,5,20,10,9,0,3,2,1,0,50,2015,reg
Troy Perkins,SEA,GK,4,3,15,12,3,1,3,0,0,25,80,2015,reg
Eric Kronberg,MTL,GK,3,3,11,6,5,0,1,2,0,0,54.5,2015,reg
Brad Knighton,NE,GK,3,3,16,9,6,1,1,1,1,33.3,56.3,2015,reg
Joe Willis,NSH,GK,3,3,10,5,5,1,1,1,0,33.3,50,2015,reg
Jon Kempin,CLB,GK,3,3,11,6,5,1,1,1,0,33.3,54.5,2015,reg
Zac MacMath,RSL,GK,3,3,12,6,5,1,2,0,1,33.3,50,2015,reg
Josh Ford,ORL,GK,2,1,6,5,1,0,1,0,0,0,83.3,2015,reg
Travis Worra,DC ,GK,1,0,1,1,0,1,0,0,0,100,100,2015,reg
Alec Kann,ATL,GK,1,1,8,6,2,0,1,0,0,0,75,2015,reg
Ryan Meara,RBNY,GK,1,1,7,6,1,0,1,0,0,0,85.7,2015,reg
Andrew Weber,POR,GK,1,1,7,4,3,0,1,0,0,0,57.1,2015,reg
Kyle Reynish,NYR,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Kristian Nicht,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Brian Perk,LA ,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Michael Lisch,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Santiago Castaño,NYR,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Eirik Johansen,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Matt Lampson,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Akira Fitzgerald,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Charlie Lyon,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Alex Bono,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
John Berner,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Trevor Spangenberg,NE ,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Andrew Wolverton,LA ,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
Tomas Gomez,SJ ,GK,0,0,0,0,0,0,0,0,0,0,0,2015,reg
David Bingham,LA,GK,34,34,146,106,39,8,12,14,8,23.5,72.6,2016,reg
Joe Bendik,PHI,GK,34,34,178,114,60,9,11,14,5,26.5,64,2016,reg
Luis Robles,MIA,GK,34,34,143,100,44,16,9,9,11,47.1,69.9,2016,reg
Evan Bush,MTL,GK,33,33,155,101,50,11,11,11,6,33.3,65.2,2016,reg
David Ousted,VAN,GK,33,33,166,110,52,10,15,8,6,30.3,66.3,2016,reg
Josh Saunders,NYC,GK,33,33,158,98,56,14,10,9,8,42.4,62,2016,reg
Stefan Frei,SEA,GK,33,33,137,91,41,14,13,6,8,42.4,66.4,2016,reg
Steve Clark,POR,GK,32,32,161,112,51,8,12,12,8,25,69.6,2016,reg
Andre Blake,PHI,GK,32,32,150,99,50,10,13,9,6,31.3,66,2016,reg
Brian Rowe ,ORL,GK,31,30,148,113,33,12,5,14,9,38.7,76.4,2016,reg
Nick Rimando,RSL,GK,30,30,137,91,40,11,9,10,6,36.7,66.4,2016,reg
Jake Gleeson,POR,GK,28,27,160,118,40,11,11,6,6,39.3,73.8,2016,reg
Chris Seitz,DC,GK,28,28,95,63,29,14,5,9,10,50,66.3,2016,reg
Tim Melia,SKC,GK,27,27,95,66,30,11,11,5,8,40.7,69.5,2016,reg
Joe Willis,NSH,GK,26,24,129,89,39,5,12,9,5,19.2,69,2016,reg
Sean Johnson,NYC,GK,22,22,106,68,37,6,10,6,5,27.3,64.2,2016,reg
Bobby Shuttleworth,CHI,GK,21,20,89,50,38,4,9,8,5,19,56.2,2016,reg
Bill Hamid,DC,GK,20,20,93,68,25,8,3,9,5,40,73.1,2016,reg
Clint Irwin,COL,GK,19,19,76,50,23,6,6,6,6,31.6,65.8,2016,reg
Tim Howard,COL,GK,17,17,73,54,19,6,3,8,7,35.3,74,2016,reg
Zac MacMath,RSL,GK,17,17,57,39,13,9,3,5,6,52.9,68.4,2016,reg
Alex Bono,TOR,GK,16,15,60,42,16,8,3,5,4,50,70,2016,reg
Brad Knighton,NE,GK,13,13,49,31,16,6,5,1,2,46.2,63.3,2016,reg
Travis Worra,DC,GK,13,13,52,34,18,3,6,4,4,23.1,65.4,2016,reg
Matt Lampson,CLB,GK,11,11,76,55,18,1,6,4,3,9.1,72.4,2016,reg
Tyler Deric,HOU,GK,10,10,37,31,6,2,2,4,4,20,83.8,2016,reg
Adam Kwarasey,POR,GK,7,7,31,19,13,1,3,2,0,14.3,61.3,2016,reg
Alec Kann,ATL,GK,7,7,28,17,11,2,2,3,2,28.6,60.7,2016,reg
Jesse Gonzalez,DAL,GK,6,6,22,12,11,3,3,0,2,50,54.5,2016,reg
Jeff Attinella,POR,GK,4,4,13,8,6,1,3,0,0,25,61.5,2016,reg
Dan Kennedy,LA,GK,3,2,7,4,3,0,0,1,0,0,57.1,2016,reg
Eric Kronberg,MTL,GK,2,1,5,2,3,0,0,1,0,0,40,2016,reg
Clement Diop,MTL,GK,2,2,15,11,3,0,1,1,0,0,73.3,2016,reg
Brad Stuver,NYC,GK,2,2,15,8,7,0,2,0,0,0,53.3,2016,reg
Andrew Tarbell,CLB,GK,1,0,2,1,1,0,0,0,0,0,50,2016,reg
Patrick McLain,CHI,GK,1,1,6,3,3,0,1,0,0,0,50,2016,reg
John McCarthy,MIA,GK,1,1,5,3,3,0,1,0,0,0,60,2016,reg
Matt Jones,PHI,GK,1,1,5,2,2,1,0,0,0,100,40,2016,reg
Tyler Miller,MIN,GK,1,1,4,2,2,0,1,0,0,0,50,2016,reg
Cody Cropper,HOU,GK,1,1,2,2,0,1,0,0,1,100,100,2016,reg
Eirik Johansen,NYC,GK,1,1,6,5,1,1,0,0,0,100,83.3,2016,reg
Paolo Tornaghi,VAN,GK,1,1,6,6,0,0,0,1,1,0,100,2016,reg
Andrew Dykstra,DC ,GK,1,1,7,3,4,0,1,0,0,0,42.9,2016,reg
Chris Konopka,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Tally Hall,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Kyle Reynish,NY,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Zack Steffen,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Charlie Horton,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Ryan Herman,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
John Berner,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Chris Froschauer,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Matt Pacifici,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Andre Rawls,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Matt Turner,NE,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Charlie Lyon,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Calle Brown,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Wade Hamilton,POR,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2016,reg
Luis Robles,MIA,GK,34,34,149,99,47,14,12,8,10,41.2,66.4,2017,reg
Zack Steffen,CLB,GK,34,34,150,98,49,16,12,6,9,47.1,65.3,2017,reg
Bobby Shuttleworth,CHI,GK,33,32,174,116,60,10,16,5,5,30.3,66.7,2017,reg
Stefan Frei,SEA,GK,33,33,121,84,36,13,9,11,13,39.4,69.4,2017,reg
Joe Bendik,PHI,GK,33,33,173,118,52,10,14,9,7,30.3,68.2,2017,reg
Sean Johnson,NYC,GK,32,32,137,96,39,15,8,9,7,46.9,70.1,2017,reg
Tim Melia,SKC,GK,31,31,116,91,24,12,7,11,10,38.7,78.4,2017,reg
Evan Bush,MTL,GK,31,31,136,84,50,11,14,6,5,35.5,61.8,2017,reg
Alex Bono,TOR,GK,29,28,104,72,32,19,4,6,10,65.5,69.2,2017,reg
Jesse Gonzalez,DAL,GK,29,29,118,75,40,8,8,13,9,27.6,63.6,2017,reg
David Ousted,VAN,GK,28,28,132,90,39,13,8,6,6,46.4,68.2,2017,reg
Nick Rimando,RSL,GK,28,28,110,73,33,13,10,5,8,46.4,66.4,2017,reg
Cody Cropper,HOU,GK,28,28,124,71,50,10,14,4,8,35.7,57.3,2017,reg
Tyler Deric,HOU,GK,26,26,109,76,31,10,6,10,6,38.5,69.7,2017,reg
Andre Blake,PHI,GK,26,26,125,88,34,9,10,7,9,34.6,70.4,2017,reg
Tim Howard,COL,GK,25,25,126,84,39,7,14,4,5,28,66.7,2017,reg
Bill Hamid,DC,GK,24,24,132,98,35,8,12,4,6,33.3,74.2,2017,reg
Matt Lampson,CLB,GK,24,24,91,58,31,12,7,5,8,50,63.7,2017,reg
David Bingham,LA,GK,23,23,94,58,35,9,9,5,7,39.1,61.7,2017,reg
Jake Gleeson,POR,GK,21,21,83,52,30,8,6,6,3,38.1,62.7,2017,reg
Alec Kann,ATL,GK,18,18,83,56,25,8,7,3,4,44.4,67.5,2017,reg
Clement Diop,MTL,GK,15,15,89,54,31,4,8,3,2,26.7,60.7,2017,reg
Brian Rowe ,ORL,GK,14,12,60,35,23,3,6,4,2,21.4,58.3,2017,reg
Jeff Attinella,POR,GK,14,13,64,45,20,7,5,2,4,50,70.3,2017,reg
Brad Guzan,ATL,GK,14,14,47,38,10,6,1,7,8,42.9,80.9,2017,reg
Andrew Tarbell,CLB,GK,11,11,65,40,25,4,5,2,2,36.4,61.5,2017,reg
Zac MacMath,RSL,GK,9,9,40,27,12,2,5,2,1,22.2,67.5,2017,reg
Joe Willis,NSH,GK,8,8,31,17,14,3,4,1,2,37.5,54.8,2017,reg
Jorge Rodrigo Bava,CHI,GK,8,8,31,20,12,3,3,2,3,37.5,64.5,2017,reg
John McCarthy,MIA,GK,8,8,49,34,13,2,4,2,1,25,69.4,2017,reg
Jon Kempin,CLB,GK,7,7,40,27,13,1,4,1,2,14.3,67.5,2017,reg
Matt Van Oekel,RSL,GK,7,6,47,25,22,0,5,1,1,0,53.2,2017,reg
Clint Irwin,COL,GK,6,6,18,13,5,1,1,3,2,16.7,72.2,2017,reg
Brad Knighton,NE,GK,6,6,31,20,11,3,1,2,1,50,64.5,2017,reg
Chris Seitz,DC,GK,5,5,20,12,8,3,2,0,0,60,60,2017,reg
Stefan Marinovic,VAN,GK,5,5,27,21,5,2,2,1,1,40,77.8,2017,reg
Steve Clark,POR,GK,5,5,27,13,11,1,3,1,1,20,48.1,2017,reg
Travis Worra,DC,GK,5,5,26,11,14,0,5,0,0,0,42.3,2017,reg
Andrew Dykstra,KC ,GK,4,3,14,10,5,0,2,2,1,0,71.4,2017,reg
John Alvbage,MIN,GK,3,2,15,5,10,0,2,1,0,0,33.3,2017,reg
Maxime Crepeau,VAN,GK,3,3,19,10,8,0,3,0,0,0,52.6,2017,reg
Kyle Reynish,ATL,GK,2,2,5,2,3,1,0,0,0,50,40,2017,reg
Richard Sanchez,SKC,GK,2,2,15,11,4,1,1,0,0,50,73.3,2017,reg
Eirik Johansen,NYC,GK,2,2,7,3,4,1,1,0,0,50,42.9,2017,reg
Alexander Tambakis,ATL,GK,1,0,3,1,2,0,1,0,0,0,33.3,2017,reg
Paolo Tornaghi,VAN,GK,1,0,7,4,3,0,1,0,0,0,57.1,2017,reg
Earl Edwards Jr.,DC,GK,1,1,7,1,6,0,1,0,0,0,14.3,2017,reg
Spencer Richey,CIN,GK,1,1,3,1,2,0,1,0,0,0,33.3,2017,reg
Tyler Miller,MIN,GK,1,1,8,5,3,1,0,0,0,100,62.5,2017,reg
Matt Bersano,SJ,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
John Berner,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Calle Brown,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Jacob Lissek,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Connor Sparrow,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Andre Rawls,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Matt Turner,NE,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Evan Louro,NYR,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Eric Klenofsky,DC,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Logan Ketterer,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Alex Kapp,MIN,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Cody Mizell,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Patrick McLain,MIN,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Mark Pais,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Josh Saunders,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Eric Kronberg,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Bryan Meredith,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Jimmy Maurer,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2017,reg
Tim Melia,SKC,GK,34,34,148,106,40,18,8,8,13,52.9,71.6,2018,reg
David Bingham,LA,GK,34,34,186,121,64,13,12,9,8,38.2,65.1,2018,reg
Evan Bush,MTL,GK,34,34,184,132,53,14,16,4,10,41.2,71.7,2018,reg
Tim Howard,COL,GK,33,33,179,119,58,8,17,7,6,24.2,66.5,2018,reg
Brad Guzan,ATL,GK,33,33,123,81,41,20,6,6,8,60.6,65.9,2018,reg
Nick Rimando,RSL,GK,33,33,165,103,57,13,13,7,7,39.4,62.4,2018,reg
Stefan Frei,SEA,GK,33,33,150,114,34,18,10,5,7,54.5,76,2018,reg
Andre Blake,PHI,GK,33,33,170,118,50,14,14,5,10,42.4,69.4,2018,reg
Tyler Miller,MIN,GK,33,33,169,114,50,16,8,9,10,48.5,67.5,2018,reg
Sean Johnson,NYC,GK,32,32,141,100,41,15,10,7,10,46.9,70.9,2018,reg
Luis Robles,MIA,GK,31,31,115,84,30,21,6,4,14,67.7,73,2018,reg
Andrew Tarbell,CLB,GK,29,29,152,87,60,4,17,8,1,13.8,57.2,2018,reg
Zack Steffen,CLB,GK,29,29,103,66,37,12,10,7,10,41.4,64.1,2018,reg
Alex Bono,TOR,GK,27,27,137,90,45,9,12,6,3,33.3,65.7,2018,reg
Matt Turner,NE,GK,27,27,126,83,42,8,10,9,5,29.6,65.9,2018,reg
Joe Willis,NSH,GK,26,26,124,82,42,9,11,6,4,34.6,66.1,2018,reg
Richard Sanchez,SKC,GK,25,24,128,79,47,6,13,6,3,24,61.7,2018,reg
Joe Bendik,PHI,GK,25,24,142,84,58,6,17,2,1,24,59.2,2018,reg
Bobby Shuttleworth,CHI,GK,25,25,155,103,51,9,13,3,2,36,66.5,2018,reg
Stefan Marinovic,VAN,GK,24,24,112,65,45,10,10,4,2,41.7,58,2018,reg
Jeff Attinella,POR,GK,22,22,85,64,23,10,5,5,7,45.5,75.3,2018,reg
Jesse Gonzalez,DAL,GK,21,21,92,63,28,11,7,3,6,52.4,68.5,2018,reg
David Ousted,DC,GK,17,17,81,48,32,4,7,6,0,23.5,59.3,2018,reg
Bill Hamid,DC,GK,14,14,63,51,12,9,2,3,5,64.3,81,2018,reg
Jimmy Maurer,DAL,GK,13,13,47,32,16,5,2,6,4,38.5,68.1,2018,reg
Steve Clark,POR,GK,11,9,61,44,17,5,4,2,3,45.5,72.1,2018,reg
Brian Rowe ,ORL,GK,10,10,50,29,22,3,3,4,0,30,58,2018,reg
Matt Lampson,CLB,GK,9,9,54,31,20,2,7,0,0,22.2,57.4,2018,reg
Brad Knighton,NE,GK,7,7,46,33,13,2,3,2,2,28.6,71.7,2018,reg
Clint Irwin,COL,GK,7,7,47,27,19,1,6,0,0,14.3,57.4,2018,reg
Chris Seitz,DC,GK,6,6,23,14,9,1,3,2,1,16.7,60.9,2018,reg
Jake Gleeson,POR,GK,6,6,29,15,14,1,3,2,0,16.7,51.7,2018,reg
Earl Edwards Jr.,DC,GK,5,5,26,15,10,1,2,1,0,20,57.7,2018,reg
Patrick McLain,CHI,GK,5,5,20,13,6,1,2,1,1,20,65,2018,reg
JT Marcinkowski,SJ,GK,5,5,32,20,11,0,4,1,1,0,62.5,2018,reg
Adam Grinwis,ORL,GK,5,5,20,14,6,1,3,1,1,20,70,2018,reg
Jon Kempin,CLB,GK,5,5,18,10,8,2,1,2,0,40,55.6,2018,reg
Stefan Cleveland,SEA,GK,5,5,33,25,8,1,3,1,0,20,75.8,2018,reg
Ryan Meara,RBNY,GK,3,3,16,12,3,1,1,1,1,33.3,75,2018,reg
Andrew Putna,RSL,GK,2,1,7,6,1,1,0,0,0,50,85.7,2018,reg
Zac MacMath,RSL,GK,2,1,16,9,5,0,2,0,0,0,56.3,2018,reg
Tyler Deric,HOU,GK,2,2,14,7,7,0,2,0,0,0,50,2018,reg
Brad Stuver,NYC,GK,2,2,9,5,4,1,0,1,0,50,55.6,2018,reg
Paul Christensen,ATL,GK,1,0,3,1,2,0,1,0,0,0,33.3,2018,reg
Alec Kann,ATL,GK,1,1,6,5,1,1,0,0,0,100,83.3,2018,reg
John McCarthy,MIA,GK,1,1,6,6,0,1,0,0,1,100,100,2018,reg
Luis Lopez,LFC,GK,1,1,5,3,2,0,1,0,0,0,60,2018,reg
Bryan Meredith,VAN,GK,1,1,6,3,3,0,1,0,0,0,50,2018,reg
Sean Melvin,VAN,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Quillan Roberts,LFC,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Brian Sylvestre,LA,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Cody Cropper,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Clement Diop,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Alex Horwath,RSL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Jake McGuire,PHI,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Matt Bersano,SJ,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Mitch Hildebrandt,ATL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Zac Lubin,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Evan Louro,NY,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
James Pantemis,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Andre Rawls,COL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Calle Brown,SEA,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Connor Sparrow,CHI,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Travis Worra,DC,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Charlie Lyon,LFC,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Jeff Caldwell,NE,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Michael Nelson,HOU,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Logan Ketterer,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Alex Kapp,MIN,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Eric Dick,SKC,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,2018,reg
Vito Mannone,MIN,GK,34,34,175,129,43,15,11,8,11,44.1,73.7,2019,reg
Brad Guzan,ATL,GK,34,34,135,91,43,18,12,4,14,52.9,67.4,2019,reg
Daniel Vega,SJ,GK,34,34,164,108,55,13,16,5,7,38.2,65.9,2019,reg
Stefan Frei,SEA,GK,34,34,165,116,49,16,10,8,10,47.1,70.3,2019,reg
Bill Hamid,DC,GK,33,33,168,126,37,12,10,11,14,36.4,75,2019,reg
